Dutch,English,Level
benzine de,gasoline the,A1
duren,to last,A1
erg,very,A1
halte de,stop the,A1
handig,handy,A1
haten,to hate,A1
helemaal,at all,A1
irritant,irritating,A1
kosten de,costs the,A1
kou de,cold the,A1
milieu het,environment the,A1
nieuwsbrief de,newsletter the,A1
ov het,public transport the,A1
parkeren,to park,A1
prettig,convenient,A1
reistijd de,travel time the,A1
rijbewijs het,driving licence the,A1
rit de (het ritje),drive the,A1
slecht,bad,A1
stoppen,to stop,A1
treinkaartje het,train ticket the,A1
verhaal het,story the,A1
want,because,A1
winter de,winter the,A1
zelfs,even,A1
auto de,car the,A1
bus de,bus the,A1
collega de,colleague the,A1
docent de,teacher the,A1
enorm,enormous,A1
excuses de,apologies the,A1
fiets de,bicycle the,A1
file de,traffic jam the,A1
gewoon,simply,A1
griep de,flu the,A1
helaas,unfortunately,A1
kantoor het,office the,A1
liggen,to lie,A1
manager de,manager the,A1
na,after,A1
ongeluk het,accident the,A1
pas,only,A1
rijden,to drive,A1
sturen,to send,A1
tram de,tram the,A1
vergadering de,meeting the,A1
verhuizing de,move the,A1
vriendelijk,kind,A1
werk het,work the,A1
dochter de,daughter the,A1
duidelijk,clear,A1
eerst,first,A1
eventueel,possibly,A1
geloven,to believe,A1
idee het,idea the,A1
kleren de,clothes the,A1
links,left,A1
linksaf,turn left,A1
lopen,to walk,A1
mam,mum,A1
mezelf,myself,A1
naartoe,(where) to,A1
plattegrond de,map the,A1
rechtdoor,straight ahead,A1
rechterkant de,right side the,A1
rechts,right,A1
rechtsaf,turn right,A1
route de,route the,A1
slim,smart,A1
stuk,broken,A1
tegenover,opposite,A1
tekenen,to draw,A1
terug,back,A1
tijdje het,while the,A1
uitleggen,to explain,A1
winkelen,to shop,A1
aankomen,to arrive,A1
aankomst de,arrival the,A1
bedankt,thanks,A1
centraal,central,A1
direct,direct,A1
gelukkig,luckily,A1
intercity de,intercity train the,A1
minuut de,minute the,A1
nergens,nowhere,A1
normaal,normally,A1
opletten,to pay attention,A1
overstappen,to change,A1
reiziger de,traveller the,A1
spoor het,platform the,A1
sprinter de,sprinter train the,A1
station het,station the,A1
tas de,bag the,A1
telefoon de,telephone the,A1
verbinding de,connection the,A1
verstaan,to hear,A1
vertraging de,delay the,A1
vertrek het,departure the,A1
vertrekken,to leave,A1
volgende,next one,A1
assistente de,assistant the,A1
behandelen,to treat,A1
dokter de,doctor the,A1
dubbel,double,A1
een paar,a few,A1
ernstig,serious,A1
gegevens de,data the,A1
gesloten,closed,A1
gezondheidszorg de,healthcare the,A1
huisarts de,the general practitioner the,A1
huisartsenpost de,GP out-of-hours service the,A1
klacht de,complaint the,A1
kort,short,A1
onderzoek het,research the,A1
praktijk de,practice the,A1
sommige,some,A1
specialist de,specialist the,A1
spoed de,emergency the,A1
spoedgeval het,emergency the,A1
spreekuur het,consultation hour the,A1
toetsen,to enter,A1
verwijzing de,referral the,A1
via,through,A1
ziekenhuis het,hospital the,A1
brengen,to bring,A1
dag de,day the,A1
eigenlijk,actually,A1
geduld het,patience the,A1
graad de,degree the,A1
hoesten,to cough,A1
keel de,throat the,A1
keelpijn de,sore throat the,A1
koorts de,fever the,A1
lijn de,line the,A1
mogelijk,possible,A1
moment het,moment the,A1
ogenblik het,moment the,A1
opnieuw,again,A1
overgaan,to pass,A1
pijn de,pain the,A1
spijten,to be sorry,A1
spreken,to speak,A1
vader de,father the,A1
vanzelf,on its own,A1
verkouden,(to have a) cold,A1
verzetten,to reschedule,A1
vrij,free,A1
apotheek de,pharmacy the,A1
bijsluiter de,leaflet the,A1
doos de (het doosje),box the,A1
dosering de,dosage the,A1
drogist de,drugstore the,A1
gebruik het,use the,A1
huismerk het,private label the,A1
jong,young,A1
kant de,side the,A1
leeftijd de,age the,A1
luier de,diaper the,A1
maar,only,A1
maximaal,maximally,A1
medicijn het,drug the,A1
merk het,brand the,A1
milligram de,milligram the,A1
naast,next to,A1
neus de,nose the,A1
neusspray de,nasal spray the,A1
pijnstiller de,painkiller the,A1
proberen,to try,A1
recept het,prescription the,A1
rug de,back the,A1
verder,further,A1
verschil het,difference the,A1
wakker,awake,A1
wc-papier het,toilet paper the,A1
zoon de (het zoontje),son the,A1
zwaar,heavy,A1
alcohol de,alcohol the,A1
bewaren,to save,A1
bijwerking de,side effect the,A1
borstvoeding de,breastfeeding the,A1
boven,above,A1
contact het,contact the,A1
erg,very,A1
glas het,glass the,A1
hardlopen,to run,A1
innemen,to take,A1
knie de,knee the,A1
laatst,last,A1
maal,times,A1
maaltijd de,meal the,A1
misselijk,nauseous,A1
nacht de,night the,A1
pil de,pill the,A1
slaappil de,sleeping pill the,A1
stress de,stress the,A1
tablet de,tablet the,A1
tegelijk,at the same time,A1
tijdens,during,A1
verpakking de,packaging the,A1
zwangerschap de,pregnancy the,A1
afwas de,dishes the,A1
bewoner de,resident the,A1
boos,angry,A1
eerlijk,fair,A1
geluk het,luck the,A1
gewoonte de,habit the,A1
hetzelfde,the same,A1
huishouden het,household the,A1
ideaal,ideal,A1
leven het,life the,A1
muziek de,music the,A1
omgeving de,environment the,A1
oplossen,to solve,A1
opschieten met,to get along with,A1
overdag,during the day,A1
rest de,rest the,A1
roken,to smoke,A1
ruzie de,argument the,A1
schoon,clean,A1
serieus,serious,A1
sinds,since,A1
uitgaan,to go out,A1
verdelen,to divide,A1
vies,dirty,A1
weleens,sometimes,A1
activiteit de,activity the,A1
begane grond de,ground floor the,A1
bibliotheek de,library the,A1
buurtcentrum het,neighbourhood centre the,A1
deelnemer de,participant the,A1
gebeuren,to happen,A1
groep de,group the,A1
hoeven,to be necessary,A1
iemand,someone,A1
ingang de,entrance the,A1
krant de,newspaper the,A1
medewerkster de,female employee the,A1
oefenen,to practice,A1
onderwerp het,subject the,A1
organiseren,to organize,A1
precies,exactly,A1
spelletje het,game the,A1
taal de,language the,A1
taalcafé het,language cafe the,A1
taalcoach de,language coach the,A1
vanaf,starting at,A1
verschillen,to differ,A1
voorbereiden,to prepare,A1
vrijwilliger de,volunteer the,A1
zich aanmelden,to sign up,A1
bioscoop de,cinema the,A1
boom de,tree the,A1
buitenland het,foreign country the,A1
café het,cafe the,A1
elk,each,A1
film de,film the,A1
gang de,corridor the,A1
gebouw het,building the,A1
grasveld het,lawn the,A1
groen,green,A1
kletsen,to chat,A1
lift de,elevator the,A1
metro de,subway the,A1
missen,to miss,A1
openbaar vervoer het,public transport the,A1
park het,park the,A1
parkeerplaats de,parking space the,A1
regelmatig,regularly,A1
speeltuin de,playground the,A1
spelen,to play,A1
struik de,bush the,A1
tevreden,content,A1
verkeer het,traffic the,A1
voetballen,to play football,A1
zoveel,that many,A1
bang,scared,A1
blaffen,to bark,A1
buurman de,male neighbour the,A1
gedrag het,behaviour the,A1
geluid het,sound the,A1
hond de,dog the,A1
huisdier het,pet the,A1
ineens,suddenly,A1
klagen,to complain,A1
laten (alleen laten),to leave,A1
oplossing de,solution the,A1
overlast de,nuisance the,A1
overleggen,to discuss,A1
schuld de,debt the,A1
situatie de,situation the,A1
stinken,to stink,A1
trap de,stairs the,A1
uitlaten,to walk (a dog),A1
veroorzaken,to cause,A1
vuilniszak de,trash bag the,A1
waarschijnlijk,probably,A1
wennen,to get used to,A1
woningbouwvereniging de,housing association the,A1
zielig,sad,A1
zomaar,just like that,A1
appartement het,apartment the,A1
badkamer de,bathroom the,A1
balkon het,balcony the,A1
betalen,to pay,A1
centrum het,centre the,A1
delen,to share,A1
eigen,own,A1
familie de,family the,A1
gebruiken,to use,A1
gezin het,family the,A1
hoog,high,A1
huisgenoot de,roommate the,A1
huur de,rent the,A1
informatie de,information the,A1
kamer de,room the,A1
maar,only,A1
plek de,place the,A1
rijtjeshuis het,row house the,A1
slaapkamer de,bedroom the,A1
tuin de,garden the,A1
verdieping de,floor the,A1
vierkante meter de,square metre the,A1
vlakbij,nearby,A1
vrijstaand,detached,A1
wc de,toilet the,A1
bed het,bed the,A1
ervaring de,experience the,A1
flat de,block of flats the,A1
hulp de,help the,A1
klussen,to do odd jobs,A1
kwijt,lost,A1
laag,low,A1
langskomen,to come by,A1
meisje het,girl the,A1
mooi,beautiful,A1
ongeveer,about,A1
ophalen,to pick up,A1
oppas de,babysitter the,A1
prijs de,price the,A1
schoonmaken,to clean,A1
sleutel de,key the,A1
spullen de,stuff the,A1
stoel de,chair the,A1
student de,student the,A1
tweedehands,second-hand,A1
verhuizen,to move,A1
verkopen,to sell,A1
zoeken,to search,A1
belangrijk,important,A1
blauw,blue,A1
donker,dark,A1
iedereen,everyone,A1
kast de,cabinet the,A1
kiezen,to choose,A1
kleding de,clothing the,A1
kleur de,colour the,A1
la de (de lades),drawer the,A1
lamp de,lamp the,A1
licht,light,A1
licht het,light the,A1
meubel het,(piece of) furniture the,A1
muur de,wall the,A1
onder,beneath,A1
raam het,window the,A1
ruimte de,space the,A1
tegen,against,A1
tip de,tip the,A1
vloer de,floor the,A1
vol,full,A1
vooral,particularly,A1
wit,white,A1
woning de,home the,A1
woonkamer de,living room the,A1
zetten,to put,A1
zorgen voor,to create,A1
allebei,both,A1
allemaal,all,A1
elkaar,each other,A1
geld het,money the,A1
gratis,free,A1
huren,to rent,A1
lang,long,A1
makkelijk,easy,A1
meeste,most,A1
moeilijk,difficult,A1
ouder de,parent the,A1
procent het,percent the,A1
sparen,to save,A1
streng,strict,A1
studeren,to study,A1
studie de,study the,A1
uitstappen,to get off,A1
vinden,to find,A1
vrijheid de,freedom the,A1
wachten,to wait,A1
was de,laundry the,A1
wasmachine de,washing machine the,A1
zelfstandig,independent,A1
zomer de,summer the,A1
allerlei,all kinds of,A1
boter de,butter the,A1
fles de,bottle the,A1
gezond,healthy,A1
groot,large,A1
klaar,ready,A1
koelkast de,fridge the,A1
langs,by,A1
meenemen,to bring (along),A1
moeten,to have to,A1
niks,nothing,A1
nodig,(have a) need,A1
over,in,A1
pak het,suit the,A1
soep de,soup the,A1
staan,to stand,A1
straks,later,A1
toetje het,dessert the,A1
ui de (uien),onion the,A1
vinden,to find,A1
water het,water the,A1
wijn de,wine the,A1
yoghurt de,yogurt the,A1
zout het,salt the,A1
avondeten het,dinner the,A1
boterham de (boterhammen),sandwich the,A1
broodje het,sandwich the,A1
ding het (dingen),thing the,A1
doordeweeks,during the week,A1
gek,crazy,A1
havermout de,oatmeal the,A1
jam de,jam the,A1
koud,cold,A1
lijken,to seem,A1
lunchen,to have lunch,A1
Nederlander de (Nederlanders),Dutchman the,A1
noedels de,noodles the,A1
nooit,never,A1
ontbijt het,breakfast the,A1
pasta de,pasta the,A1
salade de,salad the,A1
sinaasappelsap de,orange juice the,A1
trein de,train the,A1
tussen,between,A1
vaak,often,A1
vanmiddag,this afternoon,A1
vegetariër de,vegetarian the,A1
zoet,sweet,A1
zout,salty,A1
advies het,advice the,A1
afvallen,to lose weight,A1
bank de,bank the,A1
bewegen,to move,A1
buik de,belly the,A1
cola de,cola the,A1
dik,big,A1
frisdrank de,soda the,A1
gelijk hebben,to be right,A1
hamburger de (hamburgers),hamburger the,A1
ieder,every,A1
leven,to live,A1
meer,more,A1
minder,less,A1
ongezond,unhealthy,A1
pakken,to grab,A1
patat de,fries the,A1
probleem het,problem the,A1
snappen,to understand,A1
sporten,to do sports,A1
toch,don't you?,A1
tussendoor,in between,A1
vet,fat,A1
wegen,to weigh,A1
weinig,little,A1
afhalen,to take away,A1
alle,all,A1
bestellen,to order,A1
bezorgen,to deliver,A1
bijvoorbeeld,for example,A1
buiten,outdoors,A1
daarom,therefore,A1
haring de,herring the,A1
internationaal,international,A1
laat,late,A1
land het (landen),country the,A1
manier de (manieren),manner the,A1
mayonaise de,mayonnaise the,A1
mens de (mensen),man,A1
overal,everywhere,A1
plaats de,space the,A1
proeven,to taste,A1
reserveren,to reserve,A1
smaken,tastes the,A1
stamppot de,mashed potato dish the,A1
tafel de,table the,A1
terras het,terrace the,A1
typisch,typical,A1
verschillend,different,A1
vroeg,early,A1
zoals,such as,A1
alles,everything,A1
beterschap,get well soon,A1
bezig,doing (well),A1
broer de,brother the,A1
daar,there,A1
druk,busy,A1
een beetje,a little bit,A1
eindelijk,finally,A1
groet de (groeten),greeting the,A1
lekker,nice,A1
lopen,to walk,A1
moeder de,mother the,A1
morgen,tomorrow,A1
paracetamol de,paracetamol the,A1
prima,fine,A1
steeds,still,A1
vervelend,unpleasant,A1
vriend de,friend the,A1
vriendin de,girlfriend the,A1
waarom,why,A1
warm,warm,A1
weer het,weather the,A1
worden,to become,A1
ziek,ill,A1
zo,so,A1
zon de,sun the,A1
zus de,sister the,A1
bezoek het,visit the,A1
binnenkomen,to come in,A1
drinken,to drink,A1
eruitzien,to look,A1
geven,to give,A1
heel,whole,A1
horen,to hear,A1
huilen,to cry,A1
jas de,coat the,A1
jongen de,boy the,A1
klein,little,A1
koffie de,coffee the,A1
lachen,to laugh,A1
lief,sweet,A1
melk de,milk the,A1
moe,tired,A1
slapen,to sleep,A1
suiker de,sugar the,A1
thee de,tea the,A1
zelf,self,A1
zitten,to sit,A1
zonder,without,A1
zwart,black,A1
avond de,evening the,A1
beginnen,to start,A1
begrijpen,to understand,A1
bellen,to call (by telephone),A1
bier het,beer the,A1
blijven,to stay,A1
deze,this,A1
die,those,A1
echt,really,A1
eten,to eat,A1
genoeg,enough,A1
gezellig,nice,A1
heel,whole,A1
keer de,occasion the,A1
later,later,A1
lawaai het,noise the,A1
luisteren,to listen,A1
rustig,quiet,A1
uitnodigen,to invite,A1
vakantie de,holiday the,A1
voetbal het,football the,A1
vrijdag,Friday,A1
weer,again,A1
weg,away,A1
afgesproken,it's a deal,A1
afspraak de,appointment the,A1
baan de,job the,A1
bericht het,message the,A1
blij,happy,A1
februari,February,A1
feestje het,party the,A1
feliciteren,to congratulate,A1
gauw,soon,A1
gefeliciteerd,congratulations,A1
geleden,ago,A1
januari,January,A1
jarig,(having a) birthday,A1
klinken,to sound,A1
krijgen,to receive,A1
misschien,maybe,A1
net,just,A1
nieuws het,news the,A1
succes het,success the,A1
uitnodiging de,invitation the,A1
vanavond,tonight,A1
vandaag,today,A1
verjaardag de,birthday the,A1
volgend,next,A1
zeker,definitely,A1
ander,other,A1
appel de (appels),apple the,A1
banaan de (bananen),banana the,A1
bijna,almost,A1
boodschappen de,groceries the,A1
doen,to do,A1
dus,so,A1
eten het,food the,A1
fruit het,fruit the,A1
groente de,vegetable the,A1
kip de,chicken the,A1
kopen,to buy,A1
lijst de (het lijstje),list the,A1
maken,to make,A1
markt de,market the,A1
meer,more,A1
of,or,A1
praten,to talk,A1
rijst de,rice the,A1
supermarkt de,supermarket the,A1
thuis,at home,A1
tomaat de (tomaten),tomato the,A1
vis de,fish the,A1
vlees het,meat the,A1
we,we,A1
wortel de (wortels),carrot the,A1
aardappel de (aardappels),potato the,A1
alsjeblieft,please / here you go,A1
alstublieft,please / here you go,A1
anders,else,A1
dag,bye,A1
dan,then,A1
ei het (de eieren),egg the,A1
fijn,nice,A1
goed,good,A1
gram de,gram the,A1
hoeveel,how much,A1
iets,something,A1
jammer,too bad,A1
kaas de,cheese the,A1
kijken,to look,A1
kilo de,kilo the,A1
mevrouw,madam,A1
mogen,to may,A1
nee,no,A1
nemen,to take,A1
pinnen,to pay by debit card,A1
verkoper de,seller the,A1
voor,for,A1
zeggen,to say,A1
altijd,always,A1
bakker de,baker the,A1
brood het,bread the,A1
buurt de,neighbourhood the,A1
dinsdag,Tuesday,A1
duur,expensive,A1
goedkoop,cheap,A1
halen,to get,A1
hier,here,A1
hoor,that's fine,A1
kennen,to know,A1
meestal,usually,A1
middag de,afternoon the,A1
natuurlijk,of course,A1
ochtend de,morning the,A1
soms,sometimes,A1
straat de,street the,A1
veel,many,A1
ver,far,A1
vers,fresh,A1
vragen,to ask,A1
wanneer,when,A1
wel,on the other hand,A1
welk,which,A1
zaterdag,Saturday,A1
zien,to see,A1
chips de,potato chips the,A1
denken,to think,A1
dicht,closed,A1
fietsen,to (ride a) bike,A1
half,half,A1
internet het,Internet the,A1
keuken de,kitchen the,A1
laat,late,A1
leeg,empty,A1
liggen,to lie,A1
maandag,Monday,A1
open,open,A1
openingstijden de,opening hours the,A1
's avonds,in the evening,A1
's middags,in the afternoon,A1
's morgens,in the morning,A1
's nachts,at night,A1
's ochtends,in the morning,A1
snel,fast,A1
tot,until,A1
uur,o'clock,A1
weten,to know,A1
zak de,bag the,A1
dat,that,A1
dit,this,A1
dorp het,village the,A1
een,a,A1
gaan,to go,A1
hij,he,A1
ik,I,A1
in,in,A1
jaar het,year the,A1
komen,to come,A1
leren,to learn,A1
maand de,month the,A1
naar,to,A1
Nederland,The Netherlands,A1
Nederlands,Dutch,A1
niet,not,A1
nu,now,A1
school de,school the,A1
stad de,city the,A1
uit,from,A1
werken,to work,A1
winkel de,store the,A1
wonen,to live,A1
ze,she,A1
zijn,to be,A1
één,one,A1
achternaam de,last name the,A1
al,already,A1
en,and,A1
hallo,hello,A1
hebben,to have,A1
heten,to be called,A1
hoe,how,A1
hoelang,how long,A1
ja,yes,A1
je,your,A1
jij,you [singular],A1
kloppen,to be correct,A1
les de,lesson the,A1
leuk,nice,A1
mijn,my,A1
oké,okay,A1
ook,also,A1
spellen,to spell,A1
telefoonnummer het,telephone number the,A1
vandaan,from,A1
voornaam de,first name the,A1
wat,what,A1
adres het,address the,A1
april,April,A1
e-mailadres het,email address the,A1
formulier het,form the,A1
geboortedatum de,date of birth the,A1
geboren,born,A1
gemeente de,municipality the,A1
gemeentehuis het,town hall the,A1
goedemorgen,good morning,A1
helpen,to help,A1
invullen,to fill in,A1
kunnen,can,A1
man de,man the,A1
meneer,sir,A1
mobiel,mobile,A1
nationaliteit de,nationality the,A1
nieuw,new,A1
op,at,A1
postcode de,postcode the,A1
u,you [formal],A1
uw,your [formal],A1
vrouw de,woman the,A1
woonplaats de,place of residence the,A1
zullen,will,A1
alleen,on my own,A1
appen,to app,A1
buren de,neighbours the,A1
buurvrouw de,female neighbour the,A1
geen,no,A1
getrouwd,married,A1
graag,gladly,A1
hobby de,hobby the,A1
houden van,to love,A1
huis het,house the,A1
jullie,you [plural],A1
kind het,child the,A1
koken,to cook,A1
met,with,A1
nog,yet,A1
ontmoeten,to meet,A1
oud,old,A1
poes de,cat the,A1
restaurant het,restaurant the,A1
sporten,to do sports,A1
week de (weken),week the,A1
weekend het,weekend the,A1
welkom,welcome,A1
wie,who,A1
willen,to want,A1
aandoen,to put on,A1
aantrekken,to put on,A1
bedoelen,to mean,A1
benieuwd,curious,A1
blouse de,blouse the,A1
broek de,trousers the,A1
bruiloft de,wedding the,A1
dragen,to wear,A1
geel,yellow,A1
jurk de,dress the,A1
kaart de,card the,A1
lelijk,ugly,A1
lievelings,favourite,A1
mening de,opinion the,A1
nadenken,to think about,A1
niets,nothing,A1
overhemd het,shirt the,A1
pak het,suit the,A1
prachtig,beautiful,A1
rood,red,A1
roze,pink,A1
schoen de,shoe the,A1
spijkerbroek de,jeans the,A1
trouwen,to marry,A1
trui de,sweater the,A1
uitgeven,to spend,A1
aanbieding de,special offer the,A1
aankoop de,purchase the,A1
algemeen,general,A1
bankafschrift het,bank statement the,A1
bepaald,certain,A1
binnen,within,A1
contant,in cash,A1
garantie de,warranty the,A1
gelden,to apply,A1
houden,to keep,A1
kapotgaan,to become defective,A1
kassabon de,receipt the,A1
klantenservice de,customer service the,A1
namelijk,namely,A1
origineel,original,A1
pinpas de,debit card the,A1
product het,product the,A1
reparatie de,repair the,A1
ruilen,to exchange,A1
tegoedbon de,voucher the,A1
telefonisch,by telephone,A1
terugkrijgen,to get back,A1
terugstorten,to refund,A1
terugsturen,to send back,A1
tijd de,time the,A1
voorwaarde de,condition the,A1
aantal het,number the,A1
argument het,argument the,A1
bekijken,to look at,A1
beoordeling de,review the,A1
beslissing de,decision the,A1
betrouwbaar,reliable,A1
boek het,book the,A1
gaaf,cool,A1
kwaliteit de,quality the,A1
laptop de,laptop the,A1
letten op,to pay attention to,A1
minstens,at least,A1
noemen,to mention,A1
nogal,quite,A1
opruiming de,clearance sale the,A1
rotzooi de,inferior product the,A1
stukgaan,to break down,A1
twijfelen,to doubt,A1
verdienen,to earn,A1
vinger de,finger the,A1
waar,true.,A1
afgeven,to hand off,A1
artikel het,article the,A1
dichtmaken,to close,A1
inloggen,to log in,A1
juist,right,A1
klikken,to click,A1
leggen,to lay,A1
locatie de,location the,A1
maat de,size the,A1
ontvangen,to receive,A1
order de,order the,A1
over ... heen,on top of,A1
pakket het,package the,A1
plakken,to stick,A1
reden de,reason the,A1
retour,return,A1
sok de,sock the,A1
stap de,step the,A1
sticker de,sticker the,A1
verkeerd,wrong,A1
vervolgens,thereafter,A1
verzendbewijs het,proof of shipment the,A1
verzenden,to send,A1
wachtwoord het,password the,A1
webwinkel de,webshop the,A1
totaal het,total the,A1
absoluut,absolutely,A1
aflevering de,episode the,A1
dood,dead,A1
drama het,drama the,A1
hangen,to hang,A1
journaal het,news the,A1
misdaad de,crime the,A1
missen,to miss,A1
ontspannen,relaxed,A1
politiek de,politics the,A1
programma het,programme the,A1
quiz de,quiz show the,A1
romantisch,romantic,A1
rust de,rest the,A1
soapserie de,soap series the,A1
talkshow de,talk show the,A1
terugkijken,to watch,A1
thriller de,thriller the,A1
titel de,title the,A1
tof,cool,A1
vegetarisch,vegetarian,A1
verslavend,addictive,A1
waarover,about what,A1
waarvan,of what,A1
zender de,(TV) station the,A1
absoluut,absolutely,A1
aflevering de,episode the,A1
dood,dead,A1
drama het,drama the,A1
hangen,to hang,A1
journaal het,news the,A1
misdaad de,crime the,A1
missen,to miss,A1
ontspannen,relaxed,A1
politiek de,politics the,A1
programma het,programme the,A2
quiz de,quiz show the,A2
romantisch,romantic,A2
rust de,rest the,A2
soapserie de,soap series the,A2
talkshow de,talk show the,A2
terugkijken,to watch,A2
thriller de,thriller the,A2
titel de,title the,A2
tof,cool,A2
vegetarisch,vegetarian,A2
verslavend,addictive,A2
waarover,about what,A2
waarvan,of what,A2
zender de,(TV) station the,A2
afstand de,distance the,A2
arbeidsmarkt de,labour market the,A2
Aziatisch,Asian,A2
bevallen,to give birth,A2
brandstof de,fuel the,A2
buitenlands,foreign,A2
daarvoor,before,A2
economie de,economy the,A2
Europese Unie de,European Union the,A2
feit het,fact the,A2
hoofdstad de,capital the,A2
migrant de,migrant the,A2
nieuwssite de,news site the,A2
ondanks,despite,A2
onderzoeken,to research,A2
organisatie de,organization the,A2
overdreven,over the top,A2
ruim,more than,A2
sloot de,ditch the,A2
stom,stupid,A2
tarief het,rate the,A2
toch,don't you?,A2
verhogen,to increase,A2
voortaan,from now on,A2
vrezen,to fear,A2
werkloosheid de,unemployment the,A2
aankomen,to arrive,A2
aanraden,to recommend,A2
beeld het,image the,A2
bespreken,to discuss,A2
boeddhist de,Buddhist the,A2
christen de,Christian the,A2
drug de,drug the,A2
eiland het,island the,A2
geloof het,religion the,A2
kerk de,church the,A2
kerstvakantie de,Christmas vacation the,A2
liefde de,love the,A2
moskee de,mosque the,A2
moslim de,Muslim the,A2
onbeleefd,rude,A2
openbaar,public,A2
president de,president the,A2
privé,private,A2
taboe het,taboo the,A2
taxi de,taxi the,A2
tempel de,temple the,A2
terwijl,while,A2
vluchteling de,refugee the,A2
ziekte de,illness the / disease the,A2
zoiets,something like that,A2
aankomen,to arrive,A2
aanraden,to recommend,A2
beeld het,image the,A2
bespreken,to discuss,A2
boeddhist de,Buddhist the,A2
christen de,Christian the,A2
drug de,drug the,A2
eiland het,island the,A2
geloof het,religion the,A2
kerk de,church the,A2
kerstvakantie de,Christmas vacation the,A2
