Dutch,English,Level
liefde de,love the,A2
moskee de,mosque the,A2
moslim de,Muslim the,A2
onbeleefd,rude,A2
openbaar,public,A2
president de,president the,A2
privé,private,A2
taboe het,taboo the,A2
taxi de,taxi the,A2
tempel de,temple the,A2
terwijl,while,A2
vluchteling de,refugee the,A2
ziekte de,illness the / disease the,A2
zoiets,something like that,A2
aantrekkelijk,attractive,A2
belofte de,promise the,A2
bewust,consciously,A2
bukken,to bend down,A2
consument de,consumer the,A2
contactloos,contactless,A2
creditcard de,credit card the,A2
folder de,brochure the,A2
fotomodel het,(fashion) model the,A2
gangpad het,aisle the,A2
geur de,smell the,A2
gevoelig,sensitive,A2
korting de,discount the,A2
media de,media the,A2
onderaan,at the bottom,A2
reclame de,advertising the,A2
schuldig,guilty,A2
soort het,type the,A2
toeval het,coincidence the,A2
truc de,trick the,A2
uitverkoop de,(clearance) sale the,A2
verleiden,to tempt,A2
verleiding de,temptation the,A2
verschrikkelijk,terribly,A2
werkelijk,really,A2
zichtbaar,visible,A2
accijns de,excise duty the,A2
afvoeren,to dispose of,A2
belasting de,tax the,A2
belastingaanslag de,tax assessment the,A2
Belastingdienst de,tax authorities the,A2
bestuur het,government the,A2
bijdrage de,contribution the,A2
brommer de,moped the,A2
btw de,value added tax the,A2
erfenis de,inheritance the,A2
etc. (etcetera),etc.,A2
fietsenmaker de,bicycle repairer the,A2
financieel,financial,A2
loon het,wage the,A2
provincie de,province the,A2
rekeningnummer het,account number the,A2
schoenmaker de,shoemaker the,A2
sigaret de,cigarette the,A2
systeem het,system the,A2
toeslag de,surcharge the,A2
toevoegen,to add,A2
uitstel het,delay the,A2
vergissing de,mistake the,A2
vorm de,form the,A2
vraag de,question the,A2
afnemen,to decrease,A2
Amerikaans,American,A2
angst de,fear the,A2
blijken,to be evident,A2
dankbaar,grateful,A2
droom de,dream the,A2
effect het,effect the,A2
gesprek het,conversation the,A2
hypotheek de,mortgage the,A2
idioot,idiotic,A2
loterij de,lottery the,A2
onderzoeker de,researcher the,A2
parttime,part-time,A2
plotseling,suddenly,A2
relatie de,relationship the,A2
samenvatting de,summary the,A2
verband het,connection the,A2
Verenigde Staten de,United States the,A2
weggeven,to give away,A2
wens de,wish the,A2
winnaar de,winner the,A2
winnen,to win,A2
zich voorstellen,to imagine,A2
zorgen de,worries the,A2
Zweeds,Swedish,A2
bewolkt,cloudy,A2
binnenblijven,to stay inside,A2
bui de,rain shower the,A2
doodgaan,to die,A2
doorgaan,to go through,A2
eng,scary,A2
hagel de,hail the,A2
handschoen de,glove the,A2
hitte de,heat the,A2
hoofd het,head the,A2
ijs het,ice the,A2
ijskoud,ice cold,A2
muts de,hat the,A2
onweren,to thunder,A2
opschieten,to hurry up,A2
paraplu de,umbrella the,A2
regenjas de,raincoat the,A2
sneeuwen,to snow,A2
storm de,storm the,A2
vannacht,tonight,A2
voorspellen,to predict,A2
waaien,to blow,A2
wolk de,cloud the,A2
zeuren,to whine,A2
bewolkt,cloudy,A2
binnenblijven,to stay inside,A2
bui de,rain shower the,A2
doodgaan,to die,A2
doorgaan,to go through,A2
eng,scary,A2
hagel de,hail the,A2
handschoen de,glove the,A2
hitte de,heat the,A2
hoofd het,head the,A2
ijs het,ice the,A2
ijskoud,ice cold,A2
muts de,hat the,A2
onweren,to thunder,A2
opschieten,to hurry up,A2
paraplu de,umbrella the,A2
regenjas de,raincoat the,A2
sneeuwen,to snow,A2
storm de,storm the,A2
vannacht,tonight,A2
voorspellen,to predict,A2
waaien,to blow,A2
wolk de,cloud the,A2
zeuren,to whine,A2
aaien,to pet,A2
allergisch,allergic,A2
beest het,animal the,A2
dier het,animal the,A2
eenzaam,lonely,A2
kat de,cat the,A2
knuffelen,to cuddle,A2
konijn het,rabbit the,A2
nadeel het,disadvantage the,A2
ongezellig,unsociable,A2
opgroeien,to grow up,A2
praatje het,chat the,A2
rommel de,mess the,A2
ruiken,to smell,A2
schattig,cute,A2
slang de,snake the,A2
spin de,spider the,A2
thuiskomen,to come home,A2
toestaan,to allow,A2
verbieden,to prohibit,A2
verzorgen,to care for,A2
vogel de,bird the,A2
wild,wild,A2
berg de,mountain the,A2
boerderij de,farm the,A2
duin de,dune the,A2
enige de,only the,A2
hek het,fence the,A2
inwoner de,resident the,A2
kamperen,to camp,A2
koe de,cow the,A2
landschap het,landscape the,A2
meer het,lake the,A2
miljoen het,million the,A2
natuurgebied het,nature reserve the,A2
omhoog,upwards,A2
pad het,path the,A2
plat,flat,A2
rijk,rich,A2
schaap het,sheep the,A2
skiën,to ski,A2
teleurgesteld,disappointed,A2
top de,top the,A2
uitzicht het,view the,A2
verdwijnen,to disappear,A2
vuur het,fire the,A2
weiland het,meadow the,A2
zand het,sand the,A2
behulpzaam,helpful,A2
beschrijven,to describe,A2
bezorger de,deliveryman the,A2
creatief,creative,A2
depressie de,depression the,A2
enthousiast,enthusiastic,A2
ervaren,experienced,A2
flexibel,flexible,A2
functie de,function the,A2
geduldig,patient,A2
gevoel het,feeling the,A2
handig,handy,A2
klant de,customer the,A2
kritisch,critical,A2
kwaliteit de,quality the,A2
leiding de,leadership the,A2
mode de,fashion the,A2
passen bij,to match,A2
sfeer de,atmosphere the,A2
sociaal,social,A2
stage de,internship the,A2
therapie de,therapy the,A2
wiskunde de,math the,A2
behulpzaam,helpful,A2
beschrijven,to describe,A2
bezorger de,deliveryman the,A2
creatief,creative,A2
depressie de,depression the,A2
enthousiast,enthusiastic,A2
ervaren,experienced,A2
flexibel,flexible,A2
functie de,function the,A2
geduldig,patient,A2
gevoel het,feeling the,A2
handig,handy,A2
klant de,customer the,A2
kritisch,critical,A2
kwaliteit de,quality the,A2
leiding de,leadership the,A2
mode de,fashion the,A2
passen bij,to match,A2
sfeer de,atmosphere the,A2
sociaal,social,A2
stage de,internship the,A2
therapie de,therapy the,A2
wiskunde de,math the,A2
afdeling de,department the,A2
beantwoorden,to answer,A2
bereid,prepared,A2
bereikbaar,accessible,A2
beschikbaar,available,A2
bieden,to offer,A2
bruto,gross,A2
cv het,CV the,A2
doorzettingsvermogen het,perseverance the,A2
eis de,requirement the,A2
fulltime,full time,A2
omschrijving de,description the,A2
opnemen,to answer,A2
personeelszaken de,human resources department the,A2
receptie de,reception the,A2
receptionist de,receptionist the,A2
salaris het,salary the,A2
snelweg de,highway the,A2
sollicitatiebrief de,application letter the,A2
solliciteren,to apply for a job,A2
vaardigheid de,skill the,A2
verantwoordelijk,responsible,A2
vloeiend,fluent,A2
voldoende,sufficient,A2
zeer,very,A2
aannemen,to hire,A2
afwisselend,full of variety,A2
beleefd,polite,A2
besluiten,to decide,A2
bijbaan de,job on the side the,A2
boekwinkel de,bookstore the,A2
bureau het,desk the,A2
directeur de,director the,A2
geweldig,awesome,A2
ijverig,diligent,A2
kassa de,cash register the,A2
magazijn het,warehouse the,A2
nauwkeurig,accurate,A2
netjes,tidy,A2
openen,to open,A2
overleg het,meeting the,A2
serveren,to serve,A2
sollicitant de,applicant the,A2
sollicitatiegesprek het,job interview the,A2
soort het,type the,A2
taak de,task the,A2
verleden het,past the,A2
verzorgingshuis het,care home the,A2
voorbeeld het,example the,A2
afval het,waste the,A2
bak de,container the,A2
batterij de,battery the,A2
beker de,cup the,A2
blik het (het blikje),can the,A2
chemisch,chemical,A2
container de,container the,A2
deel het,part the,A2
gooien,to throw,A2
grofvuil het,bulky waste the,A2
helft de,half,A2
karton het,cardboard the,A2
krat het,crate the,A2
matras de/het,mattress the,A2
olie de,oil the,A2
plastic het,plastic the,A2
pot de,pot the,A2
restje het,leftover the,A2
schadelijk,harmful,A2
schil de,peel the,A2
statiegeld het,deposit the,A2
stof de,substance the,A2
terechtkomen,to end up,A2
terugbrengen,to return,A2
verzamelen,to collect,A2
vuilnis het,garbage the,A2
weggooien,to throw away,A2
aangifte de,report the,A2
aanvragen,to apply for,A2
aanwezig,present,A2
arts de,doctor the,A2
automatisch,automatic,A2
beide,both,A2
betaling de,payment the,A2
bevalling de,childbirth the,A2
bewijs het,proof the,A2
daarnaast,in addition,A2
document het,document the,A2
doorgeven,to pass on,A2
familielid het,family member the,A2
geboorte de,birth the,A2
geldig,valid,A2
identiteitskaart de,identity card the,A2
kwijtraken,to lose,A2
legitimatie de,identification the,A2
legitimatiebewijs het,proof of identity the,A2
mailen,to send an e-mail,A2
ondertekenen,to sign,A2
opschrijven,to write down,A2
opsturen,to send,A2
pasfoto de,passport photo the,A2
paspoort het,passport the,A2
persoon de,person the,A2
verklaring de,declaration the,A2
belasting de,tax the,A2
brief de,letter the,A2
Burgerservicenummer het,citizen service number the,A2
code de,code the,A2
dame de,lady the,A2
DigiD de,DigiD (digital signature) the,A2
dom,stupid,A2
gebruikersnaam de,username the,A2
hoofdletter de,capital letter the,A2
leesteken het,punctuation mark the,A2
onthouden,to remember,A2
overheid de,government the,A2
pensioen het,pension the,A2
persoonlijk,in person,A2
post de,post the,A2
tandarts de,dentist the,A2
uitstekend,excellent,A2
verbaasd,surprised,A2
verzekerd,insured,A2
verzekering de,insurance the,A2
werkdag de,working day the,A2
zaak de,matter the,A2
zorgverzekering de,health insurance the,A2
aanvullend,additional,A2
basis de,basis the,A2
behandeling de,treatment the,A2
bepalen,to determine,A2
bezoek het,visit the,A2
bloed het,blood the,A2
halverwege,halfway through,A2
hoogte de,height the,A2
kraamzorg de,maternity care the,A2
medisch,medical,A2
noodzakelijk,necessary,A2
opname de,admission the,A2
opzeggen,to cancel,A2
overzicht het,overview the,A2
polis de,(insurance) policy the,A2
premie de,premium the,A2
psychisch,psychological,A2
variëren,to vary,A2
vergelijken,to compare,A2
vergoeden,to reimburse,A2
verzekeren,to insure,A2
zorgkosten de,healthcare costs the,A2
aanbieden,to offer,A2
collectie de,collection the,A2
concert het,concert the,A2
cursus de,course the,A2
digitaal,digital,A2
documentaire de,documentary the,A2
downloaden,to download,A2
e-boek het,e-book the,A2
kosten de,costs the,A2
leestafel de,reading table the,A2
lid het,member the,A2
lidmaatschap het,membership the,A2
luisterboek het,audio book the,A2
medewerker de,employee the,A2
mogelijkheid de,possibility the,A2
papier het,paper the,A2
pas de,pass the,A2
stuk het,bit the,A2
termijn de,term the,A2
tijdschrift het,magazine the,A2
toegang de,access the,A2
tv-serie de,TV series the,A2
verbeteren,to improve,A2
verbinding de,connection the,A2
zodat,so that,A2
doorbrengen,to spend,A2
eeuw de,century the,A2
fantastisch,fantastic,A2
gewend,used to,A2
gracht de,canal the,A2
interesse de,interest the,A2
kunst de,art the,A2
meedenken,to help think,A2
modern,modern,A2
museum het,museum the,A2
onmogelijk,impossible,A2
opeens,suddenly,A2
overnachten,to spend the night,A2
popconcert het,pop concert the,A2
raden,to guess,A2
risico het,risk the,A2
schilderij het,painting the,A2
toerist de,tourist the,A2
totaal,totally,A2
volhouden,to keep on doing,A2
waard,worth,A2
zo'n,such a,A2
achter,behind,A2
ballet het,ballet the,A2
betekenen,to mean,A2
beweging de,exercise the,A2
bos het,forest the,A2
chagrijnig,grumpy,A2
conditie de,condition the,A2
discipline de,discipline the,A2
humeur het,mood the,A2
ict'er de,ICT worker the,A2
judo de,judo the,A2
onderdeel het,part the,A2
ophouden,to stop,A2
racefiets de,racing bicycle the,A2
relaxed,relaxed,A2
saai,boring,A2
spier de,muscle the,A2
spierpijn de,muscle pain the,A2
sportief,sporty,A2
sportschool de,gym the,A2
stilzitten,to sit still,A2
supporter de,supporter the,A2
teamsport de,team sport the,A2
totdat,until,A2
turnen,gymnastics the,A2
vast,fixed,A2
volleybal,volleyball,A2
vreselijk,terrible,A2
afdoen,to take off,A2
anderhalf,one and a half,A2
bovenkant de,top the,A2
bril de,glasses the,A2
föhnen,to blow dry,A2
geschikt,suitable,A2
gezicht het,face the,A2
grijs,grey,A2
groeien,to grow,A2
kleuren,to dye,A2
knap,good looking,A2
knippen,to cut,A2
model het,hairstyle the,A2
nek de,neck the,A2
overtuigen,to convince,A2
psycholoog de,psychologist the,A2
recht,straight,A2
rond,round,A2
shampoo de,shampoo the,A2
sluiten,to close,A2
spiegel de,mirror the,A2
verandering de,change the,A2
voordat,before,A2
zaak de,store the,A2
zich scheren,to shave,A2
bloedheet,very hot,A2
cadeau het,gift the,A2
extra,extra,A2
hotel het,hotel the,A2
jaloers,jealous,A2
jazeker,absolutely,A2
klimaat het,climate the,A2
laten zien,to show,A2
meemaken,to experience,A2
natuur de,nature the,A2
nul,zero,A2
oma de,grandma the,A2
perfect,perfect,A2
schijnen,to shine,A2
tijdelijk,temporarily,A2
uiteraard,of course,A2
uitgebreid,extensively,A2
uitrusten,to rest,A2
vliegen,to fly,A2
vliegticket de,airline ticket the,A2
voet de,foot the,A2
vriezen,to freeze,A2
wereld de,world the,A2
zee de,sea the,A2
zich voelen,to feel,A2
afspreken,to make an appointment,A2
alleenstaand,single,A2
cultuur de,culture the,A2
dalen,to decrease,A2
eindigen,to end,A2
gemiddeld,average,A2
gescheiden,divorced,A2
huwelijk het,marriage the,A2
ongetrouwd,unmarried,A2
ontmoeting de,encounter the,A2
opvoeding de,upbringing the,A2
partner de,partner the,A2
populair,popular,A2
relatie de,relationship the,A2
samenwonen,to live together,A2
scheiden,to divorce,A2
scheiding de,divorce the,A2
toenemen,to increase,A2
traditioneel,traditional,A2
uitstellen,to delay,A2
vanzelfsprekend,the natural thing to do,A2
verliefd,in love,A2
verwachting de,expectation the,A2
zorg de,care the,A2
zich voelen,to feel,A2
Azië,Asia,A2
bloem de,flower the,A2
bruidsboeket het,wedding bouquet the,A2
foto de,photo the,A2
fotograaf de,photographer the,A2
gast de,guest the,A2
hartstikke,extremely,A2
hopelijk,hopefully,A2
huwelijksreis de,honeymoon the,A2
nerveus,nervous,A2
niemand,nobody,A2
opa de,grandpa the,A2
papa,dad,A2
pech de,bad luck the,A2
regelen,to arrange,A2
regenen,to rain,A2
ring de,ring the,A2
stadhuis het,city hall the,A2
taart de,cake the,A2
trouwjurk de,wedding dress the,A2
uitzoeken,to pick out,A2
vergeten,to forget,A2
versturen,to send,A2
verwachten,to expect,A2
zich herinneren,to remember,A2
aardig,nice,A2
baard de,beard the,A2
blond,blond,A2
bruin,brown,A2
eigenwijs,stubborn,A2
gecondoleerd,sorry for your loss,A2
grap de,joke the,A2
grappig,funny,A2
herinnering de,memory the,A2
herkennen,to recognize,A2
huid de,skin the,A2
karakter het,character the,A2
krul de,curl the,A2
lengte de,length the,A2
lijken op,to resemble,A2
ongeduldig,impatient,A2
oog het,eye the,A2
oor het,ear the,A2
steil,straight,A2
tegenkomen,to run into,A2
toevallig,accidentally,A2
uiterlijk het,appearance the,A2
verdrietig,sad,A2
vrolijk,cheerful,A2
zich schamen,to be ashamed,A2
zulk(e),such,A2
aanrecht het,countertop the,A2
afwasmachine de,dishwasher the,A2
afwassen,to do the dishes,A2
apparaat het,device the,A2
bord het,plate the,A2
drogen,to dry,A2
droger de,dryer the,A2
droog,dry,A2
elektrisch,electric,A2
föhn de,hair dryer the,A2
haar het,hair the,A2
lenen,to borrow,A2
mama,mum,A2
ophangen,to hang up,A2
raar,weird,A2
spannend,exciting,A2
stofzuiger de,vacuum cleaner the,A2
strijken,to iron,A2
strijkijzer het,iron the,A2
tand de,tooth the,A2
tandenborstel de,toothbrush the,A2
vuil,dirty,A2
achteraf,afterwards,A2
afschrijven,to take out,A2
bankrekening de,bank account the,A2
besparen,to save,A2
dak het,roof the,A2
douche de,shower the,A2
elektriciteit de,electricity the,A2
energie de,energy the,A2
gas het,gas the,A2
genieten,to enjoy,A2
kosten de,costs the,A2
leverancier de,supplier the,A2
leveren,to supply,A2
maandelijks,monthly,A2
molen de,mill the,A2
onmiddellijk,immediately,A2
opladen,to charge,A2
plaatsen,to install,A2
rekening de,bill the,A2
steken,to plug,A2
stekker de,plug the,A2
stopcontact het,socket the,A2
storing de,outage the,A2
aanstaan,to be turned on,A2
aanzetten,to turn on,A2
bekend,known,A2
controleren,to check,A2
deken de,blanket the,A2
duurzaam,sustainable,A2
eenvoudig,simple,A2
halfvol,half full,A2
handdoek de,towel the,A2
laken het,sheet the,A2
merken,to notice,A2
ondergoed het,underwear the,A2
pyjama de,pyjamas the,A2
rij de,row the,A2
temperatuur de,temperature the,A2
tiental het,ten,A2
toilet het,toilet the,A2
uitdoen,to switch off,A2
uiteindelijk,in the end,A2
verlaten,to leave,A2
verstandig,sensible,A2
vervangen,to replace,A2
vriezer de,freezer the,A2
vullen,to fill,A2
zuinig,energy efficient,A2
afhankelijk,depending,A2
bevroren,frozen,A2
branden,to light up,A2
draaien,to turn,A2
drukken,to press,A2
drukte de,busyness the,A2
ergens,somewhere,A2
gisteren,yesterday,A2
knop de,button the,A2
kwartier het,quarter of an hour the,A2
lekken,to leak,A2
lukken,to succeed,A2
magnetron de,microwave the,A2
monteur de,mechanic the,A2
nat,wet,A2
opzoeken,to look up,A2
oven de,oven the,A2
programma het,programme the,A2
scherm het,screen the,A2
stuk,broken,A2
telkens,every time,A2
tijdstip het,time the,A2
type het,type the,A2
wassen,to wash,A2
zolder de,attic the,A2
aardrijkskunde de,geography the,A2
bedrag het,amount the,A2
biologie de,biology the,A2
bouwen,to build,A2
eerder,earlier,A2
Engels,English,A2
geschiedenis de,history the,A2
gymnastiek de,physical education the,A2
klas de,class the,A2
knutselen,to do crafts,A2
leerling de,pupil the,A2
lokaal het,classroom the,A2
meester de,male teacher the,A2
omgaan met,to interact with,A2
ontwikkeling de,development the,A2
pauze de,break the,A2
prestatie de,achievement the,A2
rekenen het,maths the,A2
religie de,religion the,A2
rennen,to run,A2
schoolreisje het,school trip the,A2
uitstapje het,outing the,A2
uniform het,uniform the,A2
vak het,subject the,A2
verplicht,obligated,A2
advocaat de,lawyer the,A2
automonteur de,car mechanic the,A2
beroep het,occupation the,A2
beslissen,to decide,A2
cijfer het,grade the,A2
diploma het,diploma the,A2
elektricien de,electrician the,A2
fysiotherapie de,physiotherapy the,A2
geneeskunde de,medicine the,A2
hbo het,higher professional education the,A2
inschrijven,to enrol,A2
interessant,interesting,A2
kapper de,hairdresser the,A2
keuze de,choice the,A2
middelbaar,secondary,A2
minimaal,minimally,A2
niveau het,level the,A2
onderwijs het,education the,A2
opleiding de,training the,A2
praktisch,practical,A2
slagen,to pass (an exam),A2
theoretisch,theoretical,A2
toekomst de,future the,A2
universiteit de,university the,A2
vroeger,in the old days,A2
wetenschappelijk,scientific,A2
zenuwachtig,nervous,A2
aandacht de,attention the,A2
actief,active,A2
bezoeken,to visit,A2
bijbaantje het,job on the side the,A2
bijles de,extra lesson the,A2
bijzonder,special,A2
campus de,campus the,A2
Chinees,Chinese,A2
gemotiveerd,motivated,A2
nauwelijks,barely,A2
ontzettend,extremely,A2
opvallen,to stand out,A2
piano de,piano the,A2
positief,positive,A2
presentatie de,presentation the,A2
presteren,to perform,A2
reis de,trip the,A2
samenwerken,to collaborate,A2
sportclub de,sports club the,A2
trouwens,by the way,A2
volgen,to follow,A2
workshop de,workshop the,A2
afhangen van,to depend on,A2
Arabisch,Arabic,A2
bedoeling de,intention the,A2
bereiken,to achieve,A2
bestaan,to exist,A2
besteden,to spend,A2
dichtbij,close to,A2
doel het,goal the,A2
doorgaan,to go through,A2
Duits,German,A2
gemakkelijk,easy,A2
grammatica de,grammar the,A2
interview het,interview the,A2
invloed de,influence the,A2
klank de,sound the,A2
lesmethode de,teaching method the,A2
moedertaal de,native language the,A2
motivatie de,motivation the,A2
negatief,negative,A2
onbekend,unknown,A2
staatsexamen NT2 het,NT2 state exam the,A2
taalcontact het,language contact the,A2
uitspraak de,pronunciation the,A2
uitspreken,to pronounce,A2
voordeel het,advantage the,A2
agenda de,agenda the,A2
als,when,A2
behoorlijk,rather,A2
binnenkort,soon,A2
gelijk,immediately,A2
heerlijk,delicious,A2
hockey de,(field) hockey the,A2
lastig,difficult,A2
meegaan,to come along,A2
omdat,because,A2
plezier het,pleasure the,A2
sauna de,sauna the,A2
sowieso,no matter what,A2
speciaal,special,A2
strand het,beach the,A2
trainen,to train,A2
training de,training the,A2
veld het,field the,A2
volwassene de,adult the,A2
voorlopig,for the time being,A2
wandelen,to walk,A2
wedstrijd de,match the,A2
zwembad het,swimming pool the,A2
zwemmen,to swim,A2
bedenken,to think of,A2
bovendien,in addition,A2
durven,to dare,A2
egoïstisch,selfish,A2
examen het,exam the,A2
excuus het,excuse the,A2
kwaad,angry,A2
liegen,to lie,A2
logeren,to stay over,A2
moeite de,trouble the,A2
neef de,nephew the,A2
nicht de,niece the,A2
ontdekken,to discover,A2
oppassen op,to care for,A2
plan het,plan the,A2
reizen,to travel,A2
schoonouders de,parents-in-law the,A2
smoes de,excuse the,A2
vast,fixed,A2
verzinnen,to make up,A2
vriendschap de,friendship the,A2
waarheid de,truth the,A2
zwager de,brother-in-law the,A2
afgesproken,it's a deal,A2
bar de,bar the,A2
bardienst de,bar duty the,A2
beurt de,turn the,A2
dienst de,duty the,A2
herfst de,autumn the,A2
hierheen,over here,A2
hoezo,why do you ask?,A2
kantine de,canteen the,A2
oom de,uncle the,A2
overnemen,to take over,A2
regen de,rain the,A2
rooster het,schedule the,A2
schoolplein het,schoolyard the,A2
super,super,A2
tante de,aunt the,A2
tentoonstelling de,exhibition the,A2
vereniging de,association the,A2
vieren,to celebrate,A2
vrijwilligerswerk het,volunteer work the,A2
wind de,wind the,A2
zonde,a waste,A2
aflopen,to end,A2
bedrijf het,company the,A2
behalve,except,A2
christelijk,Christian,A2
datum de,date the,A2
enzovoorts,and so on,A2
Europees,European,A2
Hemelvaart,Ascension Day,A2
herdenken,to commemorate,A2
Kerstmis,Christmas,A2
koning de,king the,A2
Koningsdag,King's Day,A2
midden het,middle the,A2
noorden het,north the,A2
officieel,official,A2
oorlog de,war the,A2
optreden het,performance the,A2
oranje,orange,A2
oud en nieuw,New Year's Eve and New Year's Day,A2
Pasen,Easter,A2
Pinksteren,Pentecost,A2
regio de,region the,A2
respect het,respect the,A2
scholier de,schoolkid the,A2
slachtoffer het,victim the,A2
stil,silent,A2
traditie de,tradition the,A2
voorjaar het,spring the,A2
zuiden het,south the,A2
aanrijden,to hit,A2
agent de,police officer the,A2
baas de,boss the,A2
belachelijk,ridiculous,A2
beloven,to promise,A2
boete de,fine the,A2
dezelfde,the same,A2
fietser de,cyclist the,A2
fietspad het,bike path the,A2
gevaarlijk,dangerous,A2
haast de,hurry the,A2
helm de,helmet the,A2
identiteitsbewijs het,proof of identity the,A2
onderweg,on the way,A2
onveilig,unsafe,A2
politie de,police the,A2
regel de,rule the,A2
stoep de,sidewalk the,A2
stoplicht het,traffic light the,A2
tegenwoordig,nowadays,A2
uitkijken,to watch out,A2
uitzondering de,exception the,A2
veilig,safe,A2
veranderen,to change,A2
voetganger de,pedestrian the,A2
zebrapad het,zebra crossing the,A2
arm de,arm the,A2
been het,leg the,A2
brand de,fire the,A2
breken,to break,A2
dagelijks,daily,A2
douchen,to shower,A2
fornuis het,stove the,A2
fout,wrong,A2
gewond,injured,A2
hand de,hand the,A2
heet,hot,A2
mes het,knife the,A2
ondertussen,meanwhile,A2
onhandig,clumsy,A2
oorzaak de,cause the,A2
overlijden,to die,A2
pan de,pan the,A2
